V1,V2
10.14704405,22.03145711
10.155783,16.37810229
10.1578644,21.2129317
10.16144079,11.8831517
10.16488484,12.20955198
10.16545771,25.30955639
10.1743925,18.73710421
10.17829383,12.29621001
10.18921379,10.39726101
10.20454054,12.58607883
10.20483933,18.46841995
10.21088312,11.76024833
10.21454765,11.94980724
10.21465314,13.3550492
10.21915716,10.4461062
10.22116593,13.89283223
10.22243064,19.85687454
10.23831368,12.69336349
10.24766814,12.64784831
10.26315308,12.1913472
10.27316576,12.02727322
10.27542279,20.88253917
10.28584467,11.32724336
10.28603368,12.6250122
10.28917107,15.99045977
10.29566495,12.39353394
10.29797036,11.6182594
10.32369711,13.52145064
10.33181973,15.6628591
10.33397138,12.36784598
10.33490947,18.43277744
10.3475664,20.08560284
10.34983545,12.04561388
10.3498356,11.77023921
10.36728391,11.37080103
10.3709352,18.28777567
10.37296042,13.15591009
10.37422431,15.77550364
10.38748578,14.32504964
10.38816216,12.75678572
10.40482936,14.16891789
10.40553097,13.4158966
10.41327188,18.14700246
10.4174695,19.62432087
10.42507488,28.77867436
10.42620603,12.55411789
10.43187683,13.95786524
10.4423657,11.9524894
10.44329061,12.9068557
10.44502665,15.88630192
10.44631169,14.7444234
10.44697812,12.52081717
10.45244235,13.3117763
10.46156688,12.01767772
10.46228445,10.72951431
10.48824605,12.69045894
10.48851696,10.80889039
10.48871619,11.61147977
10.49971681,13.05934831
10.49983684,12.49580253
10.50400934,16.90148056
10.50925037,12.03006715
10.50955255,10.66006343
10.51846669,14.05899965
10.53038597,23.59867915
10.53078405,14.77068903
10.53088316,10.62886496
10.53426577,10.71725364
10.53695563,20.86844084
10.54581706,13.53055446
10.5503933,12.5439287
10.55459119,14.76757722
10.563985,11.05323989
10.57671335,16.28622661
10.57940252,17.04438294
10.58896014,16.18316368
10.60050069,18.87910769
10.60226961,31.00777188
10.60246412,15.49464862
10.60278866,12.71143603
10.60375042,27.59840093
10.60832843,13.47082988
10.61512354,10.97393594
10.61612658,17.05182928
10.62375901,10.91223393
10.62782253,16.60444192
10.63225687,12.12198848
10.63367773,21.58816428
10.63707321,11.55651284
10.64774677,15.50658883
10.64882593,11.65243446
10.65379123,17.4715165
10.6619457,11.32325195
10.66567508,12.71165636
10.67509598,15.6292599
10.68382927,15.94888208
10.6908167,15.63781383
10.69550748,10.72336425
10.69597112,17.95587017
10.70015876,13.72133721
10.70231561,11.72741356
10.70279846,13.62783492
10.70328735,18.67355453
10.71699946,10.9764201
10.71975102,15.2175085
10.7254435,14.378664
10.747585,14.15336567
10.75777129,13.44889645
10.75848678,21.12751088
10.76006994,14.54244528
10.76161432,11.0462692
10.76662314,15.82609596
10.7724156,12.91251985
10.77769778,13.47961218
10.77838393,13.78998309
10.78507843,11.79523682
10.78642393,13.32131573
10.79176281,14.58130439
10.79363429,22.09179602
10.80566668,18.63671751
10.82155442,18.31635334
10.83699107,11.53845773
10.83731512,13.37054155
10.84122826,18.919598
10.85355391,13.40392097
10.86846489,17.88666975
10.87232331,12.80753069
10.88304159,14.73603642
10.88578832,13.88873994
10.8868548,14.49821408
10.88730604,25.36069665
10.91116518,16.61939269
10.92387901,16.17130144
10.93013744,12.00368005
10.94094631,16.75660492
10.95854856,12.96869057
10.96390645,12.16715932
10.97831203,11.16074504
10.98588848,12.7178185
10.98734578,12.11506408
10.98969542,12.03251785
11.0013978,11.40973464
11.01338154,11.77767191
11.01496487,19.03384686
11.04400576,31.10427525
11.05138628,21.19782092
11.05417122,11.4184685
11.0551186,16.88242886
11.06805208,14.07950763
11.08608944,17.02184357
11.08845481,17.94110251
11.10038471,15.97445577
11.10523423,42.78267216
11.1377952,12.38216821
11.13879462,11.46278325
11.15610199,27.80907629
11.15663754,24.64798634
11.16084879,13.18692699
11.1624205,14.03847205
11.17434172,22.68416752
11.1769083,11.80620923
11.1800971,15.83187059
11.18199846,12.33486126
11.18694806,25.42056263
11.19635187,13.08053539
11.22258477,11.552759
11.235622,15.39091792
11.2368696,11.87239297
11.24307556,20.75302003
11.2466568,14.5291532
11.25606565,14.77516758
11.26137961,21.42847087
11.26915247,11.93811536
11.2754102,12.60886669
11.28221752,15.84505583
11.28385859,15.17380451
11.29170548,12.32432288
11.294035,17.75974782
11.29936717,11.92605744
11.30244367,14.72703264
11.31487615,19.26498286
11.31857705,11.49395257
11.32030093,12.05423497
11.32248052,12.62585178
11.32844788,13.21326418
